,id,assets,liabilities,buffer,weights,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
13768,23769,0.001866,0.001656,31.68,32.683522,3.605387248,608.8123338,31.74,0.0,-2.76,C--
13769,23770,0.211624,0.190309,37.38,38.781933,0.15,1043.4,64.04,0.03,-9.38,D+
13770,23771,0.020638,0.019539,12.48,13.520177,0.598,23.937,39.392,0.276,2.111,C--
13771,23772,0.139,0.125316,41.37,42.634316,0.67,262.33,53.17,0.81,-5.87,D++
13772,23773,3.576462,3.328686,22.87,30.775148,23.62,109.306,73.93,0.096,-31.362,D+
13773,23774,0.061671,0.055901,47.53,48.647572,0.321,1620.817,30.464,0.144,-1.545,C--
13774,23775,0.013268,0.012249,56.21,57.235517,3.580674415,880.1149985,42.22,0.03,-5.25,D++
13775,23776,1.422981,1.293889,62.95,66.66687,16.04,23.92,67.33,-0.7,94.15,D+
13776,23777,0.050561,0.045987,55.98,57.076548,3.533821915,637.1454402,43.0,2.08,-25.12,D++
13777,23778,0.051698,0.044911,11.78,12.876609,0.0,839.5609599,27.509,0.007,-3.613,C--
13778,23779,0.060861,0.058079,89.57,90.68894,0.0,725.9133021,7.505,0.005,-1.461,C-
13779,23780,0.063501,0.057221,49.83,50.950722,3.507883277,860.135041,61.23,0.16,-3.73,D++
13780,23781,22.688996,21.199027,5.29,50.178023,0.379,6.092,65.05,0.308492223,1.069,D+
13781,23782,0.084407,0.075152,35.09,36.249559,20.95,63.74,77.6,0.082,47.93,D+
13782,23783,0.047171,0.041598,18.65,19.738769,0.35,715.43,50.55,0.17,-10.1,D++
13783,23784,0.637386,0.60315,43.91,46.150536,3.521267595,868.4079938,59.75,1.39,-54.92,D++
13784,23785,0.119102,0.10909,30.81,32.038192,1.69,89.32,54.26,-0.03,1.13,D++
13785,23786,0.231144,0.207832,10.11,11.548976,3.551156627,967.3630659,85.78,0.303530339,8.87720089,D
