id,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
20692,3.574572422,632.368755,32.69,0,-5.87,C+
20693,0,101.005,52.2,-0.04,-6.58,C
20694,3.41506342,1699.697443,23.56,2.25,-14.52,C+
20695,3.587011179,809.599257,36.19,1.15,-4.12,C+
20696,3.58710772,745.9434839,64.855,0.274141738,7.428047482,C-
20697,3.630477518,799.0371531,67.66,-0.03,-5.4,C-
20698,0.03,6253.33,55.5,-0.03,-8.48,C
20699,3.569393882,842.8559953,56.28,0.92,-14.93,C
20700,1.59,58.71,32.64,0,2.03,C+
20701,4.26,45.66,53.78,-0.11,6.94,C
20702,3.634109527,675.7405423,34.792,0.984,-8.596,C+
20703,2.39,48.72,64.9,-0.01,12.48,C-
20704,0.63,230.77,62.55,0,-2.82,C-
20705,0.201,290.617,25.948,0.007,-1.422,C+
20706,2.618,37.528,66.173,0.122,15.994,C-
20707,3.615790181,937.491012,61.6,0.01,-1.99,C-
20708,0.398,4.982,9.45,0.017,-0.5,C++
20709,0.05,3520.98,19.55,0.29081913,-1.27,C+
20710,3.560525079,742.7701475,70.33,0.27,-10.92,C-
20711,0.13,1044.21,58.3,-0.01,-6.4,C
20712,8.026,83.129,36.309,0.275,6.427,C+
20713,3.527267108,772.1678207,71.57,0.22,-1.51,C-
20714,3.523852628,918.0304528,72.42,0.85,-16.57,C-
20715,0.26,403.74,65.95,0.06,-6.56,C-
20716,0.13,738.85,58.29,0.52,-3.77,C
20717,3.630195775,630.3480581,20.64,0,-3.21,C+
20718,3.495187759,797.3619966,65.02,0.23,-2.78,C-
20719,3.494865601,805.6888079,53.24,0.52,-1.93,C
20720,3.54803382,777.413849,53.17,0.31,-9.33,C
20721,4.909,24.108,33.553,0.247801069,34.422,C+
20722,5.47,80.07,80.09,-0.53,11.46,C--
20723,1.19,123.92,79.8,-0.06,-4.92,C--
20724,0.07,1750.72,65.84,-0.01,-6.36,C-
20725,3.586029962,749.3933901,64.715,0.274178159,7.41738974,C-
20726,3.567280524,711.5104167,42.75,0.6,-7.19,C
20727,0,260,31.16,0,-8.11,C+
20728,3.524688686,1092.72089,72.38,2.05,-34.17,C-
20729,2.868,1115.738,50.085,0.407,12.843,C
20730,3.522720695,925.2227082,55.09,1,-3.47,C
20731,10.11,69.6,37.29,1.01,8,C+
20732,7.93,92.09,49,-2.75,2.65,C
20733,5.12,161.81,23.17,0.75,-7.54,C+
20734,0.1,794.22,78.6,0,-3.98,C-
20735,0.13,1498.59,69.15,0.02,-12.78,C-
20736,9.97,38.09,72.69,0.245226603,32.96,C-
20737,4.635,16.349,38.245,0.240871072,26.919,C+
20738,1.205,13.878,52.18,0.023,2.655,C
